Tamanio		Duracion
--------------------------- 
100		0.525479 s
101		0.531684 s
102		0.545145 s
103		0.543107 s
104		0.541868 s
105		0.549364 s
106		0.551929 s
107		0.560852 s
108		0.562711 s
109		0.565507 s
110		0.574963 s
111		0.576455 s
112		0.583129 s
113		0.590099 s
114		0.591219 s
115		0.608881 s
116		0.602839 s
117		0.611554 s
118		0.617531 s
119		0.625447 s
120		0.625378 s
121		0.633699 s
122		0.634969 s
123		0.638280 s
124		0.644714 s
125		0.643998 s
126		0.654606 s
127		0.652865 s
128		0.658483 s
129		0.658261 s
130		0.676863 s
==> Media duracion de multiplicacion MMX 	0.619396 s 

100		0.287774 s
101		0.283701 s
102		0.299199 s
103		0.306524 s
104		0.303870 s
105		0.291546 s
106		0.303333 s
107		0.293134 s
108		0.311523 s
109		0.296347 s
110		0.302149 s
111		0.301373 s
112		0.316554 s
113		0.325961 s
114		0.309137 s
115		0.306753 s
116		0.315092 s
117		0.316365 s
118		0.320983 s
119		0.319952 s
120		0.321004 s
121		0.333879 s
122		0.323716 s
123		0.328026 s
124		0.331378 s
125		0.331209 s
126		0.353931 s
127		0.335388 s
128		0.333235 s
129		0.343046 s
130		0.356068 s
==> Duracion media de suma MMX 	0.326738 s 

