Tamanio		Duracion
--------------------------- 
100		0.046499 s
101		0.057305 s
102		0.046358 s
103		0.047779 s
104		0.048242 s
105		0.048519 s
106		0.045753 s
107		0.046086 s
108		0.045738 s
109		0.048237 s
110		0.046376 s
111		0.046578 s
112		0.063896 s
113		0.053937 s
114		0.048122 s
115		0.046292 s
116		0.049771 s
117		0.048618 s
118		0.047004 s
119		0.045320 s
120		0.049646 s
121		0.054112 s
122		0.047913 s
123		0.046365 s
124		0.047476 s
125		0.048674 s
126		0.045621 s
127		0.045879 s
128		0.045707 s
129		0.048229 s
130		0.059515 s
==> Media duracion de multiplicacion SSE 	0.050519 s 

100		0.046285 s
101		0.046380 s
102		0.047623 s
103		0.049501 s
104		0.046478 s
105		0.050124 s
106		0.046447 s
107		0.049841 s
108		0.047328 s
109		0.046930 s
110		0.046490 s
111		0.049808 s
112		0.046474 s
113		0.046349 s
114		0.048131 s
115		0.048459 s
116		0.046277 s
117		0.046016 s
118		0.046719 s
119		0.048017 s
120		0.049093 s
121		0.046414 s
122		0.046707 s
123		0.046340 s
124		0.049568 s
125		0.046075 s
126		0.051229 s
127		0.046446 s
128		0.060615 s
129		0.051077 s
130		0.046566 s
==> Duracion media de suma SSE 	0.049660 s 

