Tamanio		Duracion
--------------------------- 
100		0.995633 s
101		1.004850 s
102		1.014020 s
103		1.004996 s
104		1.022829 s
105		1.024674 s
106		1.041384 s
107		1.052771 s
108		1.066388 s
109		1.076235 s
110		1.084738 s
111		1.101913 s
112		1.107632 s
113		1.119417 s
114		1.121438 s
115		1.132373 s
116		1.129795 s
117		1.146035 s
118		1.157524 s
119		1.174187 s
120		1.172881 s
121		1.171336 s
122		1.169225 s
123		1.169652 s
124		1.202263 s
125		1.202385 s
126		1.199324 s
127		1.230876 s
128		1.212614 s
129		1.235170 s
130		1.245467 s
==> Media duracion de multiplicacion C 	1.159667 s 

100		0.863202 s
101		0.871925 s
102		0.883860 s
103		0.896132 s
104		0.891501 s
105		0.910236 s
106		0.911781 s
107		0.917674 s
108		0.928368 s
109		0.930420 s
110		0.938360 s
111		0.952700 s
112		0.957411 s
113		0.968379 s
114		0.974287 s
115		0.979584 s
116		0.985699 s
117		1.000983 s
118		1.000819 s
119		1.008916 s
120		1.024989 s
121		1.033400 s
122		1.038368 s
123		1.046988 s
124		1.056997 s
125		1.054840 s
126		1.070799 s
127		1.071307 s
128		1.077835 s
129		1.088864 s
130		1.097922 s
==> Duracion media de suma C 	1.014485 s 

