Level,Date and Time,Source,Event ID,Task Category
Information,03/12/2022 16:18:35,ESENT,326,General,"svchost (6188,D,50) DS_Token_DB: The database engine attached a database (1, C:\Windows\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSTokenDB2.dat). (Time=1 seconds) 
 
Saved Cache: 1 0 
Additional Data: lgposAttach = 00000002:000A:0268,
dbv = 1568.180.400 (9360) 
 
Internal Timing Sequence: 
[1] 0.000004 +J(0)
[2] 0.056479 -0.054788 (1) WT +J(0) +M(C:0K, Fs:17, WS:4K # 4K, PF:4K # 0K, P:4K)
[3] 1.435652 -0.412824 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:7, WS:24K # 0K, PF:20K # 0K, P:20K)
[4] 0.158036 +J(0)
[5] -
[6] -
[7] -
[8] 0.035296 -0.034756 (2) CM -0.034691 (2) WT +J(CM:2, PgRf:2, Rd:4/2, Dy:0/0, Lg:54/1) +M(C:8K, Fs:4, WS:16K # 0K, PF:28K # 0K, P:28K)
[9] 0.111247 -0.110517 (4) CM -0.109987 (4) WT +J(CM:4, PgRf:23, Rd:0/3, Dy:0/0, Lg:0/0) +M(C:0K, Fs:32, WS:120K # 96K, PF:196K # 188K, P:196K)
[10] 0.016735 -0.016582 (2) CM -0.016515 (2) WT +J(CM:2, PgRf:40, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:0K, Fs:6, WS:24K # 24K, PF:64K # 56K, P:64K)
[11] 0.000982 -0.000948 (1) CM -0.000511 (1) WT +J(CM:1, PgRf:1, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:3, WS:12K # 12K, PF:0K # 0K, P:0K)
[12] 0.000032 +J(CM:0, PgRf:42, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:5, WS:20K # 20K, PF:0K # 0K, P:0K)
[13] 0.0 +J(0)
[14] 0.0 +J(0)
[15] 0.000003 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0)."
Information,03/12/2022 16:18:33,ESENT,105,General,"svchost (6188,D,0) DS_Token_DB: The database engine started a new instance (0). (Time=3 seconds) 
 
Additional Data:
 lgposV2[] = 00000002:0001:0000 - 00000002:0007:0039 - 00000002:0008:0000 - 00000002:0008:0000 (00000000:0000:0000)
cReInits = 1
 
 
Internal Timing Sequence: 
[1] 0.046589 +J(0) +M(C:0K, Fs:177, WS:700K # 700K, PF:3224K # 3228K, P:3224K)
[2] 0.000979 +J(0) +M(C:8K, Fs:99, WS:392K # 392K, PF:316K # 312K, P:316K)
[3] 0.000018 +J(0) +M(C:0K, Fs:4, WS:12K # 12K, PF:68K # 68K, P:68K)
[4] 0.000101 +J(0) +M(C:0K, Fs:23, WS:92K # 92K, PF:164K # 164K, P:164K)
[5] 0.000737 +J(0) +M(C:0K, Fs:10, WS:40K # 40K, PF:20K # 20K, P:20K)
[6] 0.047580 +J(0) +M(C:0K, Fs:72, WS:284K # 284K, PF:60K # 60K, P:60K)
[7] 0.008074 -0.001000 (2) WT +J(0) +M(C:0K, Fs:33, WS:132K # 132K, PF:64K # 64K, P:64K)
[8] 1.178645 -0.429232 (11) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:28388/141) +M(C:0K, Fs:128, WS:356K # 360K, PF:272K # 276K, P:272K)
[9] 0.000847 +J(0) +M(C:0K, Fs:5, WS:20K # 16K, PF:4K # 0K, P:4K)
[10] 0.038662 -0.035871 (1) WT +J(0) +M(C:0K, Fs:8, WS:-28K # 32K, PF:-56K # 4K, P:-56K)
[11] 0.000044 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[12] 0.230829 -0.030369 (2) WT +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[13] 1.623963 -0.071330 (2) CM -0.724806 (23) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:42, WS:48K # 64K, PF:160K # 168K, P:160K)
[14] 0.000016 +J(0)
[15] 0.000008 +J(0)
[16] 0.192849 -0.189332 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K)."
Information,03/12/2022 16:18:32,ESENT,302,Logging/Recovery,"svchost (6188,U,98) DS_Token_DB: The database engine has successfully completed recovery steps."
Information,03/12/2022 16:18:31,ESENT,301,Logging/Recovery,"svchost (6188,R,98) DS_Token_DB: The database engine has finished replaying logfile C:\Windows\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSS.log. 
 
Processing Stats: 
[1] 0.993928 -0.371893 (7) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:28388/141) +M(C:0K, Fs:78, WS:232K # 172K, PF:192K # 128K, P:192K). 
Log record of type 'Insert   ' was seen most frequently (39 times)"
Information,03/12/2022 16:18:29,ESENT,300,Logging/Recovery,"svchost (6188,R,98) DS_Token_DB: The database engine is initiating recovery steps."
Information,03/12/2022 16:18:29,ESENT,102,General,"svchost (6188,P,98) DS_Token_DB: The database engine (10.00.20348.0000) is starting a new instance (0)."
