Tamanio		Duracion
--------------------------- 
100		0.115229 s
101		0.076271 s
102		0.073822 s
103		0.072463 s
104		0.063158 s
105		0.051313 s
106		0.056876 s
107		0.084443 s
108		0.061343 s
109		0.074605 s
110		0.090928 s
111		0.093210 s
112		0.096393 s
113		0.089613 s
114		0.097481 s
115		0.065896 s
116		0.093443 s
117		0.090587 s
118		0.059517 s
119		0.089118 s
120		0.093772 s
121		0.096273 s
122		0.061356 s
123		0.094033 s
124		0.095305 s
125		0.094535 s
126		0.094907 s
127		0.109926 s
128		0.096441 s
129		0.091323 s
130		0.093287 s
==> Media duracion de multiplicacion SSE 	0.087229 s 

100		0.082158 s
101		0.083088 s
102		0.075039 s
103		0.086304 s
104		0.091966 s
105		0.097801 s
106		0.097615 s
107		0.060507 s
108		0.085917 s
109		0.093089 s
110		0.067928 s
111		0.083747 s
112		0.096559 s
113		0.090670 s
114		0.069268 s
115		0.102719 s
116		0.093081 s
117		0.081766 s
118		0.090828 s
119		0.089444 s
120		0.096232 s
121		0.104038 s
122		0.128083 s
123		0.093119 s
124		0.095958 s
125		0.094650 s
126		0.062452 s
127		0.089342 s
128		0.090961 s
129		0.065988 s
130		0.081428 s
==> Duracion media de suma SSE 	0.090725 s 

