Tamanio		Duracion
--------------------------- 
100		0.742745 s
101		0.802347 s
102		0.833255 s
103		0.709691 s
104		0.846663 s
105		0.756640 s
106		0.759153 s
107		0.796523 s
108		0.730456 s
109		0.765843 s
110		0.797489 s
111		0.809414 s
112		0.766153 s
113		0.788869 s
114		0.804448 s
115		0.870853 s
116		0.742339 s
117		0.859511 s
118		0.911984 s
119		0.859630 s
120		0.832475 s
121		0.898491 s
122		0.837973 s
123		0.867594 s
124		0.885898 s
125		0.951833 s
126		0.896766 s
127		0.999407 s
128		0.971511 s
129		0.804426 s
130		0.935115 s
==> Media duracion de multiplicacion MMX 	0.861183 s 

100		0.415039 s
101		0.440340 s
102		0.392384 s
103		0.367564 s
104		0.359226 s
105		0.471244 s
106		0.409587 s
107		0.396791 s
108		0.448123 s
109		0.439863 s
110		0.424157 s
111		0.379852 s
112		0.407120 s
113		0.494587 s
114		0.466070 s
115		0.436140 s
116		0.395007 s
117		0.515879 s
118		0.402441 s
119		0.433620 s
120		0.452999 s
121		0.495110 s
122		0.422020 s
123		0.440359 s
124		0.468715 s
125		0.410913 s
126		0.408320 s
127		0.439796 s
128		0.474654 s
129		0.491053 s
130		0.494347 s
==> Duracion media de suma MMX 	0.449777 s 

