Tamanio		Duracion
--------------------------- 
100		1.442132 s
101		1.397752 s
102		1.673134 s
103		1.539041 s
104		1.399118 s
105		1.422920 s
106		1.350974 s
107		1.510824 s
108		1.491729 s
109		1.310118 s
110		1.447415 s
111		1.421377 s
112		1.661039 s
113		1.451492 s
114		1.528216 s
115		1.443046 s
116		1.414473 s
117		1.448384 s
118		1.623808 s
119		1.496603 s
120		1.661497 s
121		1.550971 s
122		1.568169 s
123		1.606768 s
124		1.698738 s
125		1.522949 s
126		1.644906 s
127		1.623678 s
128		1.790050 s
129		1.714371 s
130		1.799947 s
==> Media duracion de multiplicacion C 	1.588521 s 

100		1.260258 s
101		1.160920 s
102		1.246495 s
103		1.244722 s
104		1.240848 s
105		1.264357 s
106		1.184243 s
107		1.334152 s
108		1.300911 s
109		1.283714 s
110		1.233994 s
111		1.364890 s
112		1.374477 s
113		1.349740 s
114		1.334774 s
115		1.322887 s
116		1.256247 s
117		1.368934 s
118		1.365403 s
119		1.333574 s
120		1.374005 s
121		1.374149 s
122		1.307970 s
123		1.329952 s
124		1.403041 s
125		1.440420 s
126		1.428398 s
127		1.532070 s
128		1.520156 s
129		1.437577 s
130		1.449257 s
==> Duracion media de suma C 	1.380751 s 

