Tamanio		Duracion
--------------------------- 
100		0.505320 s
101		0.511927 s
102		0.514956 s
103		0.513478 s
104		0.561016 s
105		0.659141 s
106		0.582902 s
107		0.604185 s
108		0.788482 s
109		0.766285 s
110		0.699715 s
111		0.829029 s
112		0.810904 s
113		0.811675 s
114		0.775127 s
115		0.832310 s
116		0.820289 s
117		0.792622 s
118		0.719805 s
119		0.692976 s
120		0.671006 s
121		0.747118 s
122		0.773241 s
123		0.724378 s
124		0.709180 s
125		0.927806 s
126		0.890026 s
127		0.918013 s
128		0.903847 s
129		0.770840 s
130		0.726318 s
==> Media duracion de multiplicacion MMX 	0.751797 s 

100		0.343724 s
101		0.361514 s
102		0.363338 s
103		0.374555 s
104		0.335247 s
105		0.416137 s
106		0.439494 s
107		0.395072 s
108		0.458623 s
109		0.333282 s
110		0.486316 s
111		0.384134 s
112		0.323839 s
113		0.295829 s
114		0.390544 s
115		0.323111 s
116		0.329821 s
117		0.304025 s
118		0.301773 s
119		0.348948 s
120		0.386180 s
121		0.321023 s
122		0.351179 s
123		0.329629 s
124		0.341255 s
125		0.315279 s
126		0.309309 s
127		0.347257 s
128		0.419519 s
129		0.360952 s
130		0.448411 s
==> Duracion media de suma MMX 	0.374644 s 

