Tamanio		Duracion
--------------------------- 
100		0.132436 s
101		0.061772 s
102		0.061779 s
103		0.052264 s
104		0.054295 s
105		0.062412 s
106		0.059099 s
107		0.093174 s
108		0.074100 s
109		0.064649 s
110		0.059231 s
111		0.060338 s
112		0.059759 s
113		0.053275 s
114		0.062098 s
115		0.057430 s
116		0.060778 s
117		0.058680 s
118		0.068536 s
119		0.061220 s
120		0.053589 s
121		0.063972 s
122		0.057317 s
123		0.086510 s
124		0.064079 s
125		0.060998 s
126		0.053475 s
127		0.052380 s
128		0.057378 s
129		0.056589 s
130		0.059488 s
==> Media duracion de multiplicacion SSE 	0.066103 s 

100		0.057387 s
101		0.059572 s
102		0.057957 s
103		0.057793 s
104		0.056097 s
105		0.052266 s
106		0.056132 s
107		0.057173 s
108		0.058856 s
109		0.058246 s
110		0.062618 s
111		0.057481 s
112		0.057514 s
113		0.054746 s
114		0.060765 s
115		0.057318 s
116		0.059877 s
117		0.063652 s
118		0.056539 s
119		0.059491 s
120		0.053873 s
121		0.053840 s
122		0.053047 s
123		0.060925 s
124		0.104953 s
125		0.081393 s
126		0.060844 s
127		0.062691 s
128		0.056256 s
129		0.082093 s
130		0.058172 s
==> Duracion media de suma SSE 	0.062986 s 

