Tamanio		Duracion
--------------------------- 
100		0.765219 s
101		0.781493 s
102		0.788245 s
103		0.787843 s
104		0.794153 s
105		0.800634 s
106		0.809392 s
107		0.811266 s
108		0.819928 s
109		0.832843 s
110		0.848812 s
111		0.857274 s
112		0.862098 s
113		0.868948 s
114		0.872728 s
115		0.879498 s
116		0.883991 s
117		0.886001 s
118		0.898673 s
119		0.907207 s
120		0.911093 s
121		0.925086 s
122		0.922023 s
123		0.930520 s
124		0.932810 s
125		0.940624 s
126		0.962921 s
127		0.971764 s
128		0.968353 s
129		0.976924 s
130		0.980634 s
==> Media duracion de multiplicacion C 	0.905967 s 

100		0.680457 s
101		0.687859 s
102		0.693112 s
103		0.701838 s
104		0.700530 s
105		0.708580 s
106		0.716618 s
107		0.724959 s
108		0.733250 s
109		0.737472 s
110		0.742376 s
111		0.748137 s
112		0.751891 s
113		0.756319 s
114		0.764219 s
115		0.769401 s
116		0.780577 s
117		0.785545 s
118		0.789845 s
119		0.795065 s
120		0.799715 s
121		0.808653 s
122		0.815254 s
123		0.822930 s
124		0.825150 s
125		0.829638 s
126		0.833386 s
127		0.844792 s
128		0.848141 s
129		0.848104 s
130		0.873259 s
==> Duracion media de suma C 	0.797236 s 

