Tamanio		Duracion
--------------------------- 
100		0.126194 s
101		0.127350 s
102		0.129138 s
103		0.126311 s
104		0.126493 s
105		0.126267 s
106		0.127160 s
107		0.126539 s
108		0.126203 s
109		0.126292 s
110		0.127337 s
111		0.126255 s
112		0.129904 s
113		0.126480 s
114		0.126253 s
115		0.127137 s
116		0.126219 s
117		0.126700 s
118		0.126250 s
119		0.126283 s
120		0.126582 s
121		0.126233 s
122		0.126916 s
123		0.126644 s
124		0.126953 s
125		0.127227 s
126		0.126245 s
127		0.126299 s
128		0.126326 s
129		0.126411 s
130		0.126713 s
==> Media duracion de multiplicacion SSE 	0.130977 s 

100		0.018550 s
101		0.018549 s
102		0.018600 s
103		0.018582 s
104		0.018682 s
105		0.018831 s
106		0.018642 s
107		0.018594 s
108		0.018560 s
109		0.018547 s
110		0.018536 s
111		0.018545 s
112		0.018562 s
113		0.018543 s
114		0.018546 s
115		0.018638 s
116		0.018563 s
117		0.018599 s
118		0.018537 s
119		0.018597 s
120		0.018722 s
121		0.018547 s
122		0.018637 s
123		0.018559 s
124		0.018543 s
125		0.018561 s
126		0.018778 s
127		0.018635 s
128		0.018583 s
129		0.018551 s
130		0.018635 s
==> Duracion media de suma SSE 	0.019218 s 

