Tamanio		Duracion
--------------------------- 
100		0.533911 s
101		0.523233 s
102		0.595658 s
103		0.617196 s
104		0.510825 s
105		0.563849 s
106		0.543903 s
107		0.558036 s
108		0.564473 s
109		0.605728 s
110		0.538484 s
111		0.576982 s
112		0.591808 s
113		0.596317 s
114		0.572693 s
115		0.652135 s
116		0.613651 s
117		0.625833 s
118		0.695871 s
119		0.680050 s
120		0.686332 s
121		0.706393 s
122		0.597972 s
123		0.613287 s
124		0.773378 s
125		1.466070 s
126		1.494910 s
127		1.505537 s
128		1.477776 s
129		0.690729 s
130		0.734134 s
==> Media duracion de multiplicacion MMX 	0.750238 s 

100		0.380447 s
101		0.271970 s
102		0.331212 s
103		0.311758 s
104		0.277068 s
105		0.302417 s
106		0.343275 s
107		0.337949 s
108		0.308048 s
109		0.313878 s
110		0.311790 s
111		0.282091 s
112		0.307809 s
113		0.284855 s
114		0.285818 s
115		0.287598 s
116		0.326052 s
117		0.412510 s
118		0.331818 s
119		0.304581 s
120		0.296673 s
121		0.337723 s
122		0.352928 s
123		0.410507 s
124		0.450146 s
125		0.342500 s
126		0.352014 s
127		0.354789 s
128		0.342391 s
129		0.319568 s
130		0.457447 s
==> Duracion media de suma MMX 	0.344321 s 

