Tamanio		Duracion
--------------------------- 
100		1.261517 s
101		1.498716 s
102		1.274085 s
103		1.177968 s
104		1.322023 s
105		1.188478 s
106		1.391872 s
107		1.311910 s
108		1.310573 s
109		1.412661 s
110		1.603027 s
111		1.421584 s
112		1.436433 s
113		1.328844 s
114		1.281586 s
115		1.393017 s
116		1.663940 s
117		1.703063 s
118		1.750308 s
119		1.685073 s
120		1.726366 s
121		2.730218 s
122		2.428423 s
123		2.616661 s
124		1.960649 s
125		1.727826 s
126		1.515965 s
127		1.670319 s
128		1.427332 s
129		1.599564 s
130		2.256194 s
==> Media duracion de multiplicacion C 	1.669206 s 

100		2.096770 s
101		2.060765 s
102		2.181975 s
103		2.150382 s
104		2.109292 s
105		2.072407 s
106		2.120338 s
107		2.021909 s
108		2.112381 s
109		2.058427 s
110		2.103152 s
111		2.152002 s
112		2.142945 s
113		2.224051 s
114		2.309443 s
115		2.382271 s
116		2.184910 s
117		2.267627 s
118		2.345234 s
119		2.293248 s
120		2.383466 s
121		2.300406 s
122		2.330849 s
123		2.127799 s
124		1.148168 s
125		1.270571 s
126		1.434703 s
127		1.434695 s
128		1.450168 s
129		1.549915 s
130		1.350587 s
==> Duracion media de suma C 	2.072362 s 

