Tamanio		Duracion
--------------------------- 
100		0.077171 s
101		0.061431 s
102		0.054982 s
103		0.057272 s
104		0.066367 s
105		0.071782 s
106		0.095359 s
107		0.097797 s
108		0.063759 s
109		0.053118 s
110		0.083261 s
111		0.097708 s
112		0.098786 s
113		0.049237 s
114		0.063597 s
115		0.063220 s
116		0.054919 s
117		0.043179 s
118		0.051146 s
119		0.065758 s
120		0.092622 s
121		0.055870 s
122		0.069843 s
123		0.100185 s
124		0.097362 s
125		0.097155 s
126		0.099654 s
127		0.097281 s
128		0.099715 s
129		0.099706 s
130		0.099945 s
==> Media duracion de multiplicacion SSE 	0.079306 s 

100		0.099437 s
101		0.053021 s
102		0.065134 s
103		0.099312 s
104		0.100340 s
105		0.099425 s
106		0.052119 s
107		0.054387 s
108		0.109868 s
109		0.052469 s
110		0.043003 s
111		0.062131 s
112		0.092434 s
113		0.060084 s
114		0.068403 s
115		0.061962 s
116		0.067368 s
117		0.059985 s
118		0.067761 s
119		0.100404 s
120		0.099729 s
121		0.101238 s
122		0.099130 s
123		0.117650 s
124		0.108648 s
125		0.094149 s
126		0.050027 s
127		0.060964 s
128		0.062266 s
129		0.073704 s
130		0.100286 s
==> Duracion media de suma SSE 	0.081228 s 

