Tamanio		Duracion
--------------------------- 
100		0.401555 s
101		0.432004 s
102		0.415634 s
103		0.411658 s
104		0.435812 s
105		0.436644 s
106		0.446670 s
107		0.432985 s
108		0.440711 s
109		0.439865 s
110		0.483481 s
111		0.462088 s
112		0.477082 s
113		0.488126 s
114		0.466515 s
115		0.473074 s
116		0.475882 s
117		0.500866 s
118		0.494865 s
119		0.484566 s
120		0.516457 s
121		0.506119 s
122		0.509676 s
123		0.526115 s
124		0.531954 s
125		0.530093 s
126		0.540747 s
127		0.520949 s
128		0.535724 s
129		0.545151 s
130		0.545729 s
==> Media duracion de multiplicacion MMX 	0.496960 s 

100		0.208960 s
101		0.201367 s
102		0.209100 s
103		0.208966 s
104		0.196900 s
105		0.200424 s
106		0.201013 s
107		0.204614 s
108		0.208775 s
109		0.204797 s
110		0.211839 s
111		0.222243 s
112		0.228187 s
113		0.233547 s
114		0.239647 s
115		0.229524 s
116		0.234294 s
117		0.244161 s
118		0.224214 s
119		0.231117 s
120		0.229046 s
121		0.237015 s
122		0.229416 s
123		0.232518 s
124		0.240145 s
125		0.251258 s
126		0.236867 s
127		0.253508 s
128		0.255119 s
129		0.252758 s
130		0.242500 s
==> Duracion media de suma MMX 	0.233461 s 

