Tamanio		Duracion
--------------------------- 
100		0.018170 s
101		0.018494 s
102		0.018906 s
103		0.018659 s
104		0.018879 s
105		0.018971 s
106		0.018889 s
107		0.019042 s
108		0.018379 s
109		0.018164 s
110		0.018409 s
111		0.019219 s
112		0.018587 s
113		0.018646 s
114		0.018691 s
115		0.018594 s
116		0.018393 s
117		0.018682 s
118		0.018844 s
119		0.018640 s
120		0.018562 s
121		0.018518 s
122		0.018471 s
123		0.018591 s
124		0.018791 s
125		0.018253 s
126		0.019244 s
127		0.018314 s
128		0.018700 s
129		0.018471 s
130		0.018622 s
==> Media duracion de multiplicacion SSE 	0.019260 s 

100		0.018591 s
101		0.018386 s
102		0.018502 s
103		0.018490 s
104		0.018551 s
105		0.018864 s
106		0.018573 s
107		0.018468 s
108		0.018509 s
109		0.019651 s
110		0.018577 s
111		0.018470 s
112		0.018427 s
113		0.018672 s
114		0.019199 s
115		0.018498 s
116		0.018668 s
117		0.018586 s
118		0.018452 s
119		0.018640 s
120		0.020267 s
121		0.019099 s
122		0.018391 s
123		0.021446 s
124		0.019617 s
125		0.018747 s
126		0.018342 s
127		0.018466 s
128		0.018348 s
129		0.018562 s
130		0.018547 s
==> Duracion media de suma SSE 	0.019420 s 

