Tamanio		Duracion
--------------------------- 
100		0.871932 s
101		0.849052 s
102		0.882646 s
103		0.883162 s
104		0.889796 s
105		0.894975 s
106		0.936334 s
107		0.926654 s
108		0.963230 s
109		0.984102 s
110		0.952158 s
111		0.941514 s
112		0.966859 s
113		0.965660 s
114		0.945624 s
115		0.948531 s
116		0.956140 s
117		0.993279 s
118		1.000484 s
119		1.012420 s
120		1.013143 s
121		1.051563 s
122		1.019868 s
123		1.060287 s
124		1.076128 s
125		1.035241 s
126		1.049211 s
127		1.042811 s
128		1.061754 s
129		1.047024 s
130		1.065870 s
==> Media duracion de multiplicacion C 	1.009582 s 

100		0.722817 s
101		0.731656 s
102		0.748556 s
103		0.745755 s
104		0.747867 s
105		0.754183 s
106		0.770909 s
107		0.780512 s
108		0.776935 s
109		0.783728 s
110		0.792139 s
111		0.798964 s
112		0.806213 s
113		0.808243 s
114		0.816880 s
115		0.825037 s
116		0.834827 s
117		0.838600 s
118		0.840386 s
119		0.844682 s
120		0.852871 s
121		0.863403 s
122		0.872955 s
123		0.871520 s
124		0.885097 s
125		0.890998 s
126		0.897328 s
127		0.899140 s
128		0.901564 s
129		0.918865 s
130		0.921105 s
==> Duracion media de suma C 	0.851458 s 

