Level,Date and Time,Source,Event ID,Task Category
Information,02/12/2022 18:34:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 18:34:03,Squid Service Source,0,None,Squid started: process id '4584'.
Information,02/12/2022 18:34:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 18:33:43,Squid Service Source,0,None,Squid started: process id '5360'.
Information,02/12/2022 18:33:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 18:33:23,Squid Service Source,0,None,Squid started: process id '5212'.
Information,02/12/2022 18:33:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 18:33:03,Squid Service Source,0,None,Squid started: process id '6368'.
Information,02/12/2022 18:33:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 18:33:03,Squid Service Source,0,None,Squid started: process id '2196'.
Information,02/12/2022 18:33:03,Squid Service Source,0,None,Squid is starting...
Information,02/12/2022 18:33:01,Squid Service Source,0,None,Squid stopped.
Information,02/12/2022 18:33:01,Squid Service Source,0,None,Squid is stopping...
Information,02/12/2022 18:32:57,Squid Service Source,0,None,Squid started: process id '5416'.
Information,02/12/2022 18:32:57,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 18:32:37,Squid Service Source,0,None,Squid started: process id '976'.
Information,02/12/2022 18:32:37,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 18:32:17,Squid Service Source,0,None,Squid started: process id '6956'.
Information,02/12/2022 18:32:17,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:21:40,Squid Service Source,0,None,Squid started: process id '4628'.
Information,02/12/2022 16:21:40,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:21:20,Squid Service Source,0,None,Squid started: process id '5504'.
Information,02/12/2022 16:21:20,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:21:00,Squid Service Source,0,None,Squid started: process id '4448'.
Information,02/12/2022 16:21:00,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:20:40,Squid Service Source,0,None,Squid started: process id '6616'.
Information,02/12/2022 16:20:40,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:20:20,Squid Service Source,0,None,Squid started: process id '316'.
Information,02/12/2022 16:20:20,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:20:20,Squid Service Source,0,None,Squid started: process id '2348'.
Information,02/12/2022 16:20:19,Squid Service Source,0,None,Squid is starting...
Information,02/12/2022 16:20:18,Squid Service Source,0,None,Squid stopped.
Information,02/12/2022 16:20:18,Squid Service Source,0,None,Squid is stopping...
Information,02/12/2022 16:20:03,Squid Service Source,0,None,Squid started: process id '2192'.
Information,02/12/2022 16:20:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:19:43,Squid Service Source,0,None,Squid started: process id '6484'.
Information,02/12/2022 16:19:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:19:23,Squid Service Source,0,None,Squid started: process id '6568'.
Information,02/12/2022 16:19:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:19:03,Squid Service Source,0,None,Squid started: process id '2228'.
Information,02/12/2022 16:19:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:18:43,Squid Service Source,0,None,Squid started: process id '6800'.
Information,02/12/2022 16:18:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:18:23,Squid Service Source,0,None,Squid started: process id '6928'.
Information,02/12/2022 16:18:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:18:03,Squid Service Source,0,None,Squid started: process id '976'.
Information,02/12/2022 16:18:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:17:43,Squid Service Source,0,None,Squid started: process id '1868'.
Information,02/12/2022 16:17:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:17:23,Squid Service Source,0,None,Squid started: process id '6796'.
Information,02/12/2022 16:17:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:17:03,Squid Service Source,0,None,Squid started: process id '3420'.
