Tamanio		Duracion
--------------------------- 
100		2.183778 s
101		2.139889 s
102		2.177222 s
103		2.242178 s
104		2.196079 s
105		2.218166 s
106		2.236033 s
107		2.244862 s
108		2.266240 s
109		2.282018 s
110		2.343577 s
111		2.307033 s
112		2.371569 s
113		2.359793 s
114		2.594695 s
115		2.743285 s
116		2.642028 s
117		2.482982 s
118		2.834777 s
119		2.498613 s
120		2.513758 s
121		2.557383 s
122		2.543801 s
123		2.586543 s
124		2.575138 s
125		2.602740 s
126		2.635621 s
127		2.667374 s
128		2.668394 s
129		2.675332 s
130		2.699870 s
==> Media duracion de multiplicacion C 	2.536359 s 

100		2.174837 s
101		2.184099 s
102		2.182160 s
103		2.235087 s
104		2.292016 s
105		2.255407 s
106		2.264035 s
107		2.302399 s
108		2.314816 s
109		2.336104 s
110		2.364272 s
111		2.367357 s
112		2.402711 s
113		2.406037 s
114		2.440098 s
115		2.415269 s
116		2.495500 s
117		2.480880 s
118		2.676183 s
119		2.567212 s
120		2.587906 s
121		2.621323 s
122		2.575487 s
123		2.603988 s
124		2.903970 s
125		2.645021 s
126		2.660454 s
127		2.688519 s
128		2.709981 s
129		2.722618 s
130		2.741242 s
==> Duracion media de suma C 	2.553900 s 

