Tamanio		Duracion
--------------------------- 
100		0.855439 s
101		0.907637 s
102		0.889431 s
103		0.890687 s
104		0.883299 s
105		0.905161 s
106		0.894881 s
107		0.933451 s
108		0.899067 s
109		0.964982 s
110		0.952152 s
111		0.949144 s
112		0.956146 s
113		0.930224 s
114		0.951908 s
115		0.996712 s
116		0.969643 s
117		0.995572 s
118		0.999167 s
119		0.976074 s
120		1.031279 s
121		1.001367 s
122		1.016800 s
123		1.014283 s
124		1.018759 s
125		1.016355 s
126		1.038367 s
127		1.066396 s
128		1.042274 s
129		1.057380 s
130		1.053902 s
==> Media duracion de multiplicacion MMX 	1.001931 s 

100		0.846644 s
101		0.878179 s
102		0.867263 s
103		0.885659 s
104		0.886268 s
105		0.894457 s
106		0.909704 s
107		0.898488 s
108		0.910068 s
109		0.933325 s
110		0.945905 s
111		0.926225 s
112		0.938340 s
113		0.946863 s
114		0.965370 s
115		0.948383 s
116		0.994330 s
117		0.954249 s
118		0.985774 s
119		0.993571 s
120		0.989739 s
121		0.990684 s
122		1.013652 s
123		1.014252 s
124		1.023353 s
125		1.021531 s
126		1.041186 s
127		1.039547 s
128		1.050931 s
129		1.070050 s
130		1.070598 s
==> Duracion media de suma MMX 	0.994486 s 

