Level,Date and Time,Source,Event ID,Task Category
Information,11/1/2022 3:13:15 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,11/1/2022 3:12:50 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,11/1/2022 7:40:41 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1149,None,"Remote Desktop Services: User authentication succeeded:

User: administrator
Domain: MicrosoftAccount
Source Network Address: 192.168.22.1"
Information,11/1/2022 7:40:41 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,261,None,Listener RDP-Tcp received a connection
Information,11/1/2022 7:40:22 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,261,None,Listener RDP-Tcp received a connection
Information,11/1/2022 7:40:18 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 7:40:18 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 7:40:18 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 7:40:18 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 7:40:17 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/1/2022 7:40:17 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 7:40:17 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 7:40:17 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/1/2022 7:40:16 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/1/2022 7:40:16 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/1/2022 7:07:35 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/1/2022 7:07:32 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/1/2022 7:07:29 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,11/1/2022 7:07:29 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,11/1/2022 3:03:12 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,10/29/2022 10:58:45 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,10/29/2022 10:58:44 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,10/29/2022 7:47:56 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,10/29/2022 7:47:53 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,10/29/2022 7:47:51 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,10/29/2022 7:47:51 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,10/29/2022 7:44:57 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
